grid_id,row,col,event1_num,event2_num,event3_num,event4_num,event5_num,event6_num
0,40,7,0,0,16343.301401110715,0,0,0
1,40,8,0,0,21672.958437520407,0,0,0
2,40,9,0,0,39059.09219886652,0,0,0
3,40,10,0,0,14748.78991866258,0,0,0
4,40,11,0,0,32915.631412468814,0,0,0
5,40,12,0,0,43726.93658872831,0,0,0
6,40,13,0,0,20942.31364494859,0,0,0
7,40,14,0,0,21570.093947125206,2,0,0
8,40,15,0,0,30332.961446057598,0,0,0
9,40,16,0,0,22380.349780024284,2,0,0
10,40,17,0,0,16617.328440575708,0,0,0
11,40,18,0,0,33082.701635823454,19,0,0
12,40,19,0,0,35083.640354698866,0,0,0
13,40,20,0,0,29534.661294204503,68,1,0
14,40,21,0,0,30229.9702576714,0,0,0
15,40,22,0,0,22814.140382944308,0,0,0
16,40,23,0,0,46154.38339454924,0,0,0
17,40,24,0,0,36843.63124397857,26,0,0
18,40,25,0,0,31655.141265932616,20,0,0
19,40,26,0,0,33647.070999272015,16,0,0
20,40,27,0,0,35274.65197458769,0,0,0
21,40,28,0,0,31009.889001016636,0,0,0
22,40,29,0,0,39111.18991365393,21,0,0
23,40,30,0,0,14192.897085557832,2066,112,0
24,40,31,0,0,50846.41912471991,2810,278,0
25,40,32,0,0,36075.36025159586,1332,28,0
26,40,33,0,0,35226.105639450216,0,0,0
27,40,34,0,0,41620.38337104531,0,0,0
28,40,35,0,0,42400.93300573322,0,0,0
29,40,36,0,0,41122.09623184694,3,0,0
30,40,37,0,0,43599.488978223344,0,0,0
31,40,38,0,0,44233.51883878495,6,0,0
32,40,39,0,0,49453.585378833865,0,0,0
33,40,40,0,0,45819.24790211742,6,0,0
34,40,41,0,0,54148.885324454815,4,0,0
35,40,42,0,0,50305.89605697421,0,0,0
36,40,43,0,0,49403.34460688838,60,6,0
37,40,44,0,0,53397.201038696745,12,0,0
38,40,45,0,0,58858.571828223125,421,2,0
39,40,46,0,1,41584.50695209406,292,23,0
40,40,47,0,0,51035.30496123535,723,17,0
41,40,48,0,0,40129.130750965065,1766,33,0
42,40,49,0,0,33753.65213663568,104,8,0
43,40,50,0,0,41731.70903488717,0,0,0
44,40,51,0,0,39470.49692991567,18,0,0
45,40,52,0,0,38957.64438058897,65,5,0
46,40,53,0,0,47731.67371394456,0,0,0
47,40,54,0,0,52618.587084973005,75,2,0
48,40,55,0,0,40189.10262716037,0,0,0
49,40,56,0,0,47296.07818322603,105,2,0
50,40,57,0,0,51748.034981392484,0,0,0
51,40,58,0,0,41925.512460599886,2,0,0
52,40,59,0,0,35482.77860077043,0,0,0
53,40,60,0,0,33201.91036968984,4,0,0
54,40,61,0,0,42624.017591332784,6,0,0
55,40,62,0,0,41055.18900511003,0,0,0
56,40,63,0,0,45015.631639522595,48,1,0
57,40,64,0,0,59551.973206236624,621,29,0
