grid_id,row,col,population
0,40,7,0
1,40,8,0
2,40,9,0
3,40,10,0
4,40,11,0
5,40,12,0
6,40,13,0
7,40,14,5
8,40,15,0
9,40,16,7
10,40,17,0
11,40,18,36
12,40,19,0
13,40,20,138
14,40,21,0
15,40,22,0
16,40,23,0
17,40,24,50
18,40,25,42
19,40,26,45
20,40,27,0
21,40,28,0
22,40,29,63
23,40,30,4693
24,40,31,5194
25,40,32,3924
26,40,33,0
27,40,34,0
28,40,35,0
29,40,36,10
30,40,37,0
31,40,38,15
32,40,39,0
33,40,40,15
34,40,41,20
35,40,42,0
36,40,43,321
37,40,44,36
38,40,45,926
39,40,46,576
40,40,47,2194
41,40,48,4761
42,40,49,282
43,40,50,0
44,40,51,32
45,40,52,395
46,40,53,0
47,40,54,228
48,40,55,0
49,40,56,437
50,40,57,0
51,40,58,12
52,40,59,0
53,40,60,9
54,40,61,20
55,40,62,0
56,40,63,139
57,40,64,3511
58,40,65,7040
59,40,66,5779
60,40,67,2366
61,40,68,0
62,40,69,0
63,40,70,0
64,40,71,0
65,40,72,0
66,40,73,0
67,40,74,0
68,41,7,0
69,41,8,0
70,41,9,0
71,41,10,0
72,41,11,0
73,41,12,0
74,41,13,0
75,41,14,0
76,41,15,0
77,41,16,0
78,41,17,0
79,41,18,0
80,41,19,0
81,41,20,0
82,41,21,0
83,41,22,163
84,41,23,0
85,41,24,0
86,41,25,0
87,41,26,109
88,41,27,199
89,41,28,0
90,41,29,0
91,41,30,1142
92,41,31,2077
93,41,32,2895
94,41,33,37
95,41,34,0
96,41,35,17
97,41,36,22
98,41,37,0
99,41,38,26
100,41,39,276
101,41,40,92
102,41,41,5
103,41,42,0
104,41,43,0
105,41,44,242
106,41,45,666
107,41,46,103
108,41,47,1243
109,41,48,397
110,41,49,0
111,41,50,84
112,41,51,32
113,41,52,411
114,41,53,397
115,41,54,0
116,41,55,0
117,41,56,0
118,41,57,0
119,41,58,5
120,41,59,0
121,41,60,5
122,41,61,34
123,41,62,0
124,41,63,208
125,41,64,2424
126,41,65,3690
127,41,66,4727
128,41,67,609
129,41,68,30
130,41,69,0
131,41,70,0
132,41,71,0
133,41,72,0
134,41,73,0
135,41,74,0
136,42,7,0
137,42,8,0
138,42,9,0
139,42,10,0
140,42,11,0
141,42,12,0
142,42,13,0
143,42,14,131
144,42,15,0
145,42,16,123
146,42,17,172
147,42,18,716
148,42,19,105
149,42,20,0
150,42,21,0
151,42,22,6
152,42,23,7
153,42,24,516
154,42,25,1143
155,42,26,990
156,42,27,2395
157,42,28,1170
158,42,29,48
159,42,30,592
160,42,31,66
161,42,32,897
162,42,33,32
163,42,34,416
164,42,35,789
165,42,36,0
166,42,37,43
167,42,38,83
168,42,39,144
169,42,40,52
170,42,41,0
171,42,42,24
172,42,43,0
173,42,44,138
174,42,45,0
175,42,46,18
176,42,47,99
177,42,48,53
178,42,49,0
179,42,50,507
180,42,51,29
181,42,52,156
182,42,53,81
183,42,54,61
184,42,55,0
185,42,56,30
186,42,57,68
187,42,58,2
188,42,59,0
189,42,60,127
190,42,61,559
191,42,62,55
192,42,63,0
193,42,64,2699
194,42,65,1852
195,42,66,1208
196,42,67,0
197,42,68,13
198,42,69,0
199,42,70,0
200,42,71,0
201,42,72,0
202,42,73,0
203,42,74,0
204,43,7,0
205,43,8,0
206,43,9,0
207,43,10,0
208,43,11,0
209,43,12,7
210,43,13,6307
211,43,14,203
212,43,15,197
213,43,16,229
214,43,17,42
215,43,18,883
216,43,19,0
217,43,20,0
218,43,21,117
219,43,22,2023
220,43,23,418
221,43,24,36
222,43,25,0
223,43,26,240
224,43,27,734
225,43,28,1263
226,43,29,66
227,43,30,0
228,43,31,0
229,43,32,65
230,43,33,34
231,43,34,901
232,43,35,1568
233,43,36,7
234,43,37,0
235,43,38,0
236,43,39,20
237,43,40,0
238,43,41,319
239,43,42,0
240,43,43,176
241,43,44,0
242,43,45,90
243,43,46,0
244,43,47,1
245,43,48,34
246,43,49,477
247,43,50,3040
248,43,51,3103
249,43,52,309
250,43,53,0
251,43,54,0
252,43,55,15
253,43,56,0
254,43,57,201
255,43,58,0
256,43,59,9
257,43,60,861
258,43,61,2397
259,43,62,0
260,43,63,1044
261,43,64,0
262,43,65,780
263,43,66,513
264,43,67,102
265,43,68,338
266,43,69,0
267,43,70,0
268,43,71,0
269,43,72,587
270,43,73,0
271,43,74,0
272,44,7,0
273,44,8,0
274,44,9,0
275,44,10,0
276,44,11,0
277,44,12,0
278,44,13,575
279,44,14,0
280,44,15,0
281,44,16,17
282,44,17,0
283,44,18,164
284,44,19,572
285,44,20,263
286,44,21,290
287,44,22,342
288,44,23,111
289,44,24,73
290,44,25,449
291,44,26,464
292,44,27,20
293,44,28,592
294,44,29,0
295,44,30,0
296,44,31,153
297,44,32,940
298,44,33,18
299,44,34,93
300,44,35,91
301,44,36,70
302,44,37,2
303,44,38,367
304,44,39,2
305,44,40,10
306,44,41,0
307,44,42,40
308,44,43,244
309,44,44,0
310,44,45,24
311,44,46,0
312,44,47,289
