grid_id,row,col,population
0,40,38,6
1,40,39,0
2,40,40,3
3,41,38,2
4,41,39,110
5,41,40,11
6,41,41,3
7,42,37,7
8,42,38,14
9,42,39,50
10,42,40,8
11,42,41,0
12,42,42,2
13,43,37,0
14,43,38,0
15,43,39,3
16,43,40,0
17,43,41,43
18,43,42,0
19,43,43,30
20,44,30,0
21,44,31,15
22,44,32,125
23,44,33,3
24,44,34,9
25,44,35,20
26,44,36,7
27,44,37,1
28,44,38,65
29,44,39,2
30,44,40,2
31,44,41,0
32,44,42,6
33,44,43,33
34,44,44,0
35,45,30,0
36,45,31,94
37,45,32,254
38,45,33,0
39,45,34,2
40,45,35,0
41,45,36,10
42,45,37,2
43,45,38,14
44,45,39,0
45,45,40,23
46,45,41,60
47,45,42,4
48,45,43,21
49,45,44,8
50,46,30,0
51,46,31,0
52,46,32,53
53,46,33,4
54,46,34,0
55,46,35,43
56,46,36,119
57,46,37,77
58,46,38,0
59,46,39,0
60,46,40,31
61,46,41,69
62,46,42,30
63,46,43,0
64,46,44,0
65,46,45,5
66,46,46,2
67,46,47,0
68,46,48,29
69,46,49,1
70,46,50,3
71,46,51,0
72,46,52,10
73,46,53,13
74,47,30,0
75,47,31,1
76,47,32,83
77,47,33,131
78,47,34,0
79,47,35,0
80,47,36,96
81,47,37,99
82,47,38,257
83,47,39,113
84,47,40,61
85,47,41,0
86,47,42,0
87,47,43,5
88,47,44,80
89,47,45,30
90,47,46,0
91,47,47,2
92,47,48,11
93,47,49,0
94,47,50,0
95,47,51,7
96,47,52,0
97,47,53,0
98,48,29,0
99,48,30,2
100,48,31,0
101,48,32,132
102,48,33,80
103,48,34,1
104,48,35,57
105,48,36,4
106,48,37,110
107,48,38,57
108,48,39,0
109,48,40,251
110,48,41,238
111,48,42,46
112,48,43,55
113,48,44,0
114,48,45,88
115,48,46,24
116,48,47,18
117,48,48,43
118,48,49,4
119,48,50,0
120,48,51,0
121,48,52,113
122,48,53,1
123,49,26,16
124,49,29,5
125,49,30,47
126,49,31,38
127,49,32,361
128,49,33,259
129,49,34,24
130,49,35,7
131,49,36,0
132,49,37,91
133,49,38,0
134,49,39,89
135,49,40,138
136,49,41,0
137,49,42,25
138,49,43,343
139,49,44,424
140,49,45,344
141,49,46,147
142,49,47,36
143,49,48,59
144,49,49,0
145,49,50,0
146,49,51,158
147,49,52,138
148,49,53,69
149,50,25,9
150,50,26,3
151,50,27,4
152,50,28,0
153,50,29,0
154,50,30,4
155,50,31,3
156,50,32,187
157,50,33,379
158,50,34,248
159,50,35,2
160,50,36,0
161,50,37,2
162,50,38,1
163,50,39,0
164,50,40,19
165,50,41,60
166,50,42,0
167,50,43,618
168,50,44,1142
169,50,45,729
170,50,46,560
171,50,47,218
172,50,48,130
173,50,49,44
174,50,50,3
175,50,51,40
176,50,52,152
177,50,53,0
178,51,24,47
179,51,25,176
180,51,26,224
181,51,27,0
182,51,28,57
183,51,29,16
184,51,30,47
185,51,31,0
186,51,32,0
187,51,33,93
188,51,34,33
189,51,35,46
190,51,36,125
191,51,37,0
192,51,38,71
193,51,39,45
194,51,40,0
195,51,41,0
196,51,42,5
197,51,43,402
198,51,44,727
199,51,45,1113
200,51,46,641
201,51,47,311
202,51,48,221
203,51,49,106
204,51,50,0
205,51,51,0
