grid_id,row,col,event1_num,event2_num,event3_num,event4_num
0,40,38,4.652844320933036e-07,4.737148458418935e-08,0,0
1,40,39,0,0,8.778914537298573e-07,8.388873828525148e-07
2,40,40,7.985009443135851e-07,6.605763392486612e-07,0,7.24907675250665e-07
3,41,38,1.3013127842910156e-07,8.775200206908251e-07,1.112430005035964e-06,1.308476593418375e-06
4,41,39,0,0,0,0
5,41,40,1.81123782124978e-06,1.7884633750824975e-06,2.6532704111795723e-06,0
6,41,41,0,0,0,2.065105572584622e-06
7,42,37,4.614054376520184e-07,6.599359982359385e-07,3.9641225248908154e-07,1.0898271328550765e-06
8,42,38,0,0,1.4235351212895545e-07,0
9,42,39,1.0048946780425108e-06,8.769163812804873e-07,0,4.049012069124342e-07
10,42,40,0,0,1.7304603756568992e-06,2.4868233771891867e-07
11,42,41,0,3.945934447637672e-06,0,5.210392284056704e-07
12,42,42,5.360063878940078e-06,0,9.232619873828637e-06,0
13,43,37,0,0,1.0588674101764182e-06,1.722562426067162e-06
14,43,38,1.2904916326527408e-07,7.459318286308994e-07,0,8.676323539114875e-08
15,43,39,0,0,0,0
16,43,40,0,1.258483978782681e-06,7.787796357432369e-07,1.124151538322094e-07
17,43,41,1.0486621327153867e-05,1.3540890023243005e-06,0,4.858748256923108e-06
18,43,42,5.328739642922792e-06,0,0,0
19,43,43,1.4709553999344501e-05,4.439233752769451e-06,1.490825587247044e-08,2.485140254286839e-05
20,44,30,5.436050763586942e-07,0,0,0
21,44,31,6.543157136329147e-06,1.6493264586133638e-05,2.1244275830209603e-05,0
22,44,32,2.6842390414153864e-05,3.884322733681938e-05,2.594704604198451e-06,3.0585113270223285e-05
23,44,33,8.124452725013593e-06,4.725264836387808e-06,0,2.0478952380652094e-05
24,44,34,0,0,9.501538566388944e-07,0
25,44,35,1.5117006403856127e-06,1.7517868521258022e-06,0,0
26,44,36,0,2.7891986779680374e-07,0,2.6763232790976366e-06
27,44,37,0,1.2527459890964736e-06,1.604943304588547e-06,1.861832486163239e-06
28,44,38,6.283007111234675e-07,0,0,0
29,44,39,0,0,3.613350813931024e-06,3.974716671265605e-06
30,44,40,5.302279195888191e-06,4.590926776769187e-06,1.3512372040513172e-06,8.641488384673295e-06
31,44,41,0,0,0,0
32,44,42,0,1.6173355476740443e-05,2.9102825115119567e-05,5.741690501458228e-05
33,44,43,0,0,0,0
34,44,44,0,0,0,0
35,45,30,6.124594108266043e-07,8.673946602861788e-06,6.499258711840672e-06,4.632891325530649e-06
36,45,31,7.202165802132964e-06,0,0,5.586731303260914e-06
37,45,32,0,0,6.478631640119838e-07,6.380129491916651e-06
38,45,33,0,0,0,0
39,45,34,0,7.416745956775837e-07,2.064830608758475e-07,0
40,45,35,0,3.04373372078079e-07,0,8.907717202123474e-07
41,45,36,2.931387069115728e-07,1.975159940663548e-06,1.664814990920429e-06,4.081283973140661e-06
42,45,37,2.012806377985422e-06,0,0,0
43,45,38,4.0454394932959095e-06,0,0,0
44,45,39,2.1179680664376584e-06,1.282181408241285e-05,1.168702564450301e-05,1.959726373318549e-05
45,45,40,2.2730828691459123e-05,0,0,0
46,45,41,0,1.0618500261705327e-05,2.8036691007427067e-05,6.167874385194585e-05
47,45,42,2.893634522179468e-05,1.926482931656799e-05,0,0
48,45,43,7.660569757086186e-05,0,0,0
49,45,44,6.376530674052367e-05,2.5408326851615036e-05,0.00010370365959867947,0.00014102429973954827
50,46,30,1.86944819912466e-05,0,6.805981418091151e-06,1.4647895555486857e-05
51,46,31,0,3.916923869930245e-06,6.154665387977715e-06,8.251226883621141e-06
52,46,32,9.285473518906793e-07,0,0,0
53,46,33,3.1893158663554057e-07,2.0429049817325117e-06,7.208368432486285e-07,2.6465113639230026e-07
54,46,34,6.04578269523073e-07,2.4525300367179717e-07,0,2.924770949994775e-08
55,46,35,0,8.345146122495243e-07,1.3374161915307768e-06,3.721482208710339e-06
56,46,36,3.3452128592274236e-06,1.027614282111114e-06,0,0
57,46,37,0,0,0,0
58,46,38,0,1.7187523515124446e-05,1.606695080897471e-05,3.447587690235272e-05
59,46,39,0,0,0,0
60,46,40,0,0,0,1.6615994438644928e-05
61,46,41,0,4.584373012410858e-05,7.651758917379146e-05,9.080806121497921e-05
62,46,42,0.0001283425822683827,0,0,9.837660557929194e-06
63,46,43,0,4.40979898609757e-05,3.4970267375945846e-05,0.00031667085130053757
64,46,44,0,0.00021271142148249732,0,0.00039815234746368454
65,46,45,0,0,0,0
66,46,46,0,0.00016485259721976127,9.152831355783761e-05,0.0004064815732046531
67,46,47,0,0,0,2.815362934228481e-05
68,46,48,0,7.58650047139238e-05,6.161173569286336e-05,0.00017195816234350842
69,46,49,4.1681883104009674e-05,0,0,0
70,46,50,0.00013158639721126892,0.00015471739589212896,0.0001610030717109242,0.0008776505109045731
71,46,51,0,0,0,0
72,46,52,0,0.000122468464532131,0.00017353902163387517,0.00037096128414813905
73,46,53,0,1.0159452930897134e-05,3.567851206068448e-05,3.139340961950688e-05
74,47,30,2.0046547356226496e-05,2.6944380257637323e-05,1.600074185258798e-05,3.39092131399353e-05
75,47,31,0,0,0,0
76,47,32,1.578902589400031e-06,3.356570737241088e-06,0,8.913708347275553e-07
77,47,33,0,0,1.4561348884667925e-06,2.0249754885291806e-06
78,47,34,3.183793124595176e-07,0,0,1.1916534020795011e-06
79,47,35,0,2.2520533447769987e-06,2.3433067021783953e-06,1.2161892784217044e-06
80,47,36,4.813570361437862e-06,0,0,0
81,47,37,0,6.978122965745994e-06,1.269025211469891e-05,3.396265292257971e-05
82,47,38,8.261948414369738e-06,1.0205555852630832e-05,0,0
83,47,39,0,0,0,0
84,47,40,4.1986954449740956e-05,9.345230165641351e-05,0.00010079838719256218,0.00013369542582356093
85,47,41,0,0,0,0
86,47,42,0.00018307398402405125,9.362905657349962e-05,2.338012295845462e-05,0.0005216579843281079
87,47,43,0,0.0002794049078141144,0.0007707272494824321,0.0012231619525760182
88,47,44,0.0007350219297086912,0,0,0
89,47,45,7.005991368638335e-05,0.0007450120709788994,0.001111395577189858,0.002328773115416825
90,47,46,0.0005217707995575715,0,0,0.00028899537078643363
91,47,47,0.00012232298784814393,0,8.010843112231571e-06,0
92,47,48,7.698048725332753e-05,0,0,0
93,47,49,0,4.169437011272719e-06,7.532941991301774e-05,0
94,47,50,0,0,0,0.0004404846147623146
95,47,51,0.0004439630331550674,0.0009448277825571507,0.00274672116358336,0.003967930518093389
96,47,52,1.3242423773080781e-05,0,0,0
97,47,53,0,0,0,0
98,48,29,7.26418726832694e-05,3.538790033567634e-05,0,0
99,48,30,1.6612254654929254e-05,0,1.1828496101569431e-05,6.072114939758463e-06
100,48,31,0,0,0,0
101,48,32,6.261651754515052e-06,4.544727207482543e-06,3.7229226498309595e-06,9.707124440060441e-06
102,48,33,0,0,0,0
103,48,34,5.611417639701056e-07,3.740480100873234e-06,1.2547756283262198e-06,2.9509360419278888e-06
104,48,35,0,0,0,0
105,48,36,5.023721919709794e-06,1.8064377809527562e-06,0,1.7304384717319304e-05
106,48,37,0,1.8306052967685753e-05,2.788254996922535e-05,6.8186724612428846e-06
107,48,38,6.849785196633588e-05,0,0,0
108,48,39,0,4.240399396365868e-05,3.449588350102772e-05,9.280182807374256e-05
109,48,40,2.632758704971274e-05,3.264806210152591e-05,9.694600514824078e-06,8.038906859992094e-05
110,48,41,0,0,0,0
111,48,42,1.4673515135574981e-05,0.0004402926488712306,0.0006012801939824002,0.001393075437188232
112,48,43,0,0,0,0.00244994927183491
113,48,44,0,0.0016861410105874913,0.0025523092216443387,0.008634419320078128
114,48,45,0,0,0.0007329608767893566,0.0040213265114732895
115,48,46,0.00022564686795488443,0,0.0001989829942778497,0.001425057322034846
116,48,47,0,0.00013443937235302694,0.00037921059231373907,0.0011138842535538828
117,48,48,8.28053367710944e-05,9.99227794762466e-06,0,0.00011429511829200472
118,48,49,0,0,4.7069802317308625e-05,0.00029788813996589223
119,48,50,0,0.00044022317355350696,0.00024570097884165303,0.0017680733916849854
120,48,51,0.00014044673441214198,0,0.000305244594745782,0.0006723698394870735
121,48,52,0,0,1.7621968884656366e-05,0.0002574572927231157
122,48,53,5.4961202190659104e-05,0.0002169407771220282,0.00023248363073803048,0.0005891823116070376
123,49,26,0.00017485575155652694,0.00013698348175724938,8.568224416964536e-05,0.0003108139077998669
124,49,29,0,2.2611170501633216e-05,0,2.116142544090121e-05
125,49,30,0,0,9.083793176560377e-06,1.978160156663201e-05
126,49,31,1.4064937315350318e-06,0,1.1950751094170411e-05,3.9040661305632385e-05
127,49,32,0,4.911779932934845e-06,3.1901450668777963e-06,8.11679036084297e-06
128,49,33,0,0,0,0
129,49,34,0,1.7065937223356694e-06,4.2682881412186585e-06,0
130,49,35,0,0,0,1.8042335550655636e-06
131,49,36,5.220224658960754e-06,2.7501238174392687e-05,2.681262456134018e-05,2.526259223823905e-05
132,49,37,0,0,0,0
133,49,38,6.795324656567476e-05,3.42605837039129e-05,0,5.412393984790929e-06
134,49,39,0,7.996183005165132e-05,0.00021571851991652498,0.00017909097025886855
135,49,40,0.0002763468834709054,0,0,0
136,49,41,0,0.0004471041530868781,0.0006707530592799608,0.0012968617736214526
137,49,42,0.0007039671022862431,0,0,0.0004805569913067784
138,49,43,0,0.0010341349367305455,0.001499198809521193,0.008547274888787707
139,49,44,0.0025308104010604185,0.0017812711463867138,0.00479777243315026,0.02305359909907773
140,49,45,0.0029571365257397724,0,0.009024224193411323,0.017433365232039113
141,49,46,0.002156003269374136,0.0019302709089325013,0.005938456417270861,0.011545260334620487
142,49,47,0.0003097295625942834,0,0.00014064408403769354,0.00038981703508887493
143,49,48,5.104232958881966e-05,0.00026832617843000405,0.00012475849524338988,0.0004993534037281264
144,49,49,0.00020774877703178736,0,0,0.00035952504129046234
145,49,50,0.00041369815756709386,6.638961011332795e-06,0.00043299681240410834,0.002310663827278955
146,49,51,0.0008081353240764297,0.00027765672403985383,0,0.0025195667604568017
147,49,52,0.0005976063690102969,0.00015774363059473928,0.00024802546504528285,0.0021140080885096732
148,49,53,8.667524219552993e-06,0,0,0
149,50,25,0.0001304650793606871,8.917214447445248e-05,0.00011255832596728157,0.00019182813869162408
150,50,26,0,0,0,0
151,50,27,0,8.404060798809936e-05,9.911476672390785e-05,0.0001653606085725114
152,50,28,5.8565590051444254e-05,3.337867519106579e-05,0,4.344398973755408e-05
153,50,29,7.394456454810116e-05,0,3.830053056081029e-05,0
154,50,30,9.587961241077383e-05,9.480192723414332e-06,3.499164024857989e-05,3.141640391182577e-05
155,50,31,4.121767824992319e-05,6.124740569454822e-05,2.2159201335328525e-05,3.476594073612176e-05
156,50,32,2.656599125552485e-05,0,0,0
157,50,33,0,2.1898673323030563e-05,1.7580445298074474e-05,2.1446174251040484e-05
158,50,34,2.1464163228825736e-06,0,0,2.001471217305789e-06
159,50,35,5.701485627719665e-06,1.189951341716314e-05,0,1.7417337055187735e-05
160,50,36,0,0,1.785340587061905e-05,0
161,50,37,0,0,0,1.4241298558019412e-06
162,50,38,0,0.00012447919036448352,0.0002274298108137844,0.0001514897121784841
163,50,39,0,0,0,0
164,50,40,0,0.0006501728859091972,0.0007193203338840806,0.0012446303726112685
165,50,41,0,0,0,0
166,50,42,0,0.001368970995609302,0.0018397138010266248,0.004235253899281174
167,50,43,0.0009346785702680705,0,0.0005390241459180226,0.006225973301227376
168,50,44,0.00836230067649938,0.0034657873427817922,0.008828000594976895,0.03253785641403706
169,50,45,0.005872501647469371,0.00814689436080319,0.046680442829838555,0.05777189415833797
170,50,46,0.002276663904777607,0,0.006026598263248644,0.009380859254942996
171,50,47,0.00041864377904416485,0.00026882383258415663,0.0004923851992507173,0.001905502782553107
172,50,48,0.00010150394089902851,0,0,0.00017805201636137015
173,50,49,0.00067600107692452,0.00011742392226170661,9.297059494690566e-05,0.0009152379144539696
174,50,50,0.0023117659363273506,0.0001765570742438947,0,0.0018748066313392122
175,50,51,0.009571321886659058,0.0005575534659495736,0.0007637955827368608,0.003823424860934798
